cluster,business,car,domestic appliances,education,furniture/equipment,radio/TV,repairs,vacation/others
0,0.0,0.0,2.04,13.61,27.21,52.38,3.4,1.36
1,0.0,0.0,0.0,9.07,34.56,49.75,4.17,2.45
2,21.8,75.73,2.02,0.45,0.0,0.0,0.0,0.0
